frame,cpu_ms,gpu_ms,volume,shadow,sdf,pixels,distance,spp,sph,hit_ratio
52,60.6956,60.303936,49.999302,225.20058,121.1479,2073600,0.35404384,38.122288,396.34778,0.09618393
53,62.1696,61.800448,49.999073,225.20695,121.156555,2073600,0.35404414,38.1218,396.36258,0.096179105
54,59.7605,59.419008,49.999527,225.20702,121.16434,2073600,0.35404447,38.120686,396.37088,0.096174285
55,60.949,60.596224,49.999504,225.2113,121.171074,2073600,0.35404477,38.120598,396.3819,0.096171394
56,60.3507,59.990016,49.999367,225.22302,121.18374,2073600,0.3540451,38.120255,396.40613,0.096164644
57,61.3341,60.980832,49.99931,225.23146,121.18969,2073600,0.3540454,38.11991,396.42047,0.0961603
58,60.1168,59.76544,49.999783,225.24269,121.19683,2073600,0.35404575,38.11943,396.4393,0.09615451
59,60.5165,60.121088,50.0,225.25897,121.210365,2073600,0.35404605,38.118874,396.46933,0.09614583
60,60.552,60.113024,49.99976,225.26535,121.216125,2073600,0.35404637,38.118683,396.48123,0.096142456
61,60.0291,59.623552,49.99928,225.26248,121.21815,2073600,0.35404667,38.11817,396.4799,0.096141495
62,61.4539,61.111616,49.999844,225.27048,121.22556,2073600,0.354047,38.117603,396.49588,0.09613619
63,61.0419,60.689408,49.999798,225.27711,121.232796,2073600,0.35404733,38.117783,396.5097,0.09613329
64,59.4809,59.117696,49.9997,225.28305,121.24313,2073600,0.35404766,38.11685,396.52588,0.096127026
65,60.5437,60.162464,49.999527,225.28522,121.24607,2073600,0.35404795,38.11637,396.5308,0.09612461
66,60.7918,60.437024,49.99908,225.29582,121.25422,2073600,0.35404822,38.11622,396.5491,0.09611979
67,59.6625,59.325568,49.999798,225.30283,121.262115,2073600,0.35404855,38.115616,396.56473,0.09611449
68,61.2089,60.874752,49.999554,225.31058,121.26926,2073600,0.35404885,38.115494,396.57938,0.09611063
69,61.9694,61.371424,49.999844,225.31125,121.27521,2073600,0.35404915,38.114628,396.5863,0.09610677
70,61.9867,61.63024,49.99976,225.3139,121.278694,2073600,0.35404944,38.114254,396.59235,0.09610436
71,61.5033,61.155328,49.999523,225.31961,121.28591,2073600,0.35404974,38.113754,396.60504,0.09610002
72,60.4212,60.031296,49.99935,225.32687,121.293274,2073600,0.35405004,38.113613,396.6195,0.09609616
73,60.5591,60.182528,49.999207,225.3281,121.299355,2073600,0.35405037,38.11258,396.62665,0.09609182
74,60.8216,60.437024,49.999683,225.33528,121.30733,2073600,0.35405067,38.111977,396.64227,0.09608652
75,59.9364,59.529344,49.999634,225.3462,121.31697,2073600,0.35405096,38.111458,396.66278,0.09608024
76,61.4276,61.006752,49.99959,225.356,121.32124,2073600,0.3540513,38.11185,396.67682,0.09607784
77,61.2809,60.854272,49.99944,225.36241,121.323235,2073600,0.3540516,38.112072,396.6851,0.09607639
78,62.0643,61.665728,49.99978,225.36789,121.33249,2073600,0.3540519,38.11122,396.70016,0.0960706
79,61.8386,61.456448,49.999573,225.35329,121.32899,2073600,0.35405222,38.1108,396.68182,0.09607398
80,59.553,59.204096,49.999474,225.36523,121.33462,2073600,0.3540525,38.11057,396.69934,0.09606916
81,61.9728,61.599776,49.99981,225.36673,121.338776,2073600,0.3540528,38.110573,396.70532,0.09606771
82,60.5424,60.18464,49.999855,225.39268,121.35562,2073600,0.3540531,38.110287,396.74817,0.09605662
83,60.0001,59.635168,49.999138,225.40227,121.36475,2073600,0.3540534,38.110294,396.76614,0.096052274
84,66.8027,66.447456,49.99962,225.4069,121.369576,2073600,0.35405368,38.1101,396.7761,0.09604938
85,60.4175,60.086848,49.99983,225.42227,121.379524,2073600,0.354054,38.10987,396.8016,0.09604263
86,60.8295,60.469248,49.99978,225.4396,121.39098,2073600,0.3540543,38.10938,396.83038,0.09603443
87,63.1629,62.538656,49.999805,225.45343,121.40144,2073600,0.3540546,38.109035,396.85468,0.09602768
88,61.8683,61.376512,49.999874,225.45432,121.40421,2073600,0.3540549,38.108433,396.8584,0.09602527
89,62.3242,61.86976,49.99987,225.46417,121.41023,2073600,0.35405523,38.108044,396.87427,0.096020445
90,62.1249,61.77792,49.999046,225.4723,121.41789,2073600,0.35405555,38.10757,396.88922,0.096015625
91,61.8968,61.532384,49.99922,225.48863,121.42767,2073600,0.35405585,38.10722,396.91553,0.09600839
92,61.8567,61.490816,49.999302,225.50136,121.43696,2073600,0.35405618,38.107044,396.93762,0.0960026
93,60.3831,59.987008,49.99954,225.49924,121.43992,2073600,0.35405648,38.106384,396.9387,0.09600068
94,61.3026,60.896608,49.999603,225.50786,121.44582,2073600,0.3540568,38.10625,396.95328,0.09599682
95,60.1904,59.813664,49.99976,225.50333,121.449615,2073600,0.35405713,38.105812,396.9527,0.09599585
96,59.6442,59.301888,49.999683,225.51096,121.4549,2073600,0.35405746,38.105896,396.96555,0.09599296
97,61.3313,60.941824,49.99963,225.49507,121.450905,2073600,0.35405773,38.105515,396.9456,0.09599682
98,60.7111,60.383552,49.999546,225.50558,121.45935,2073600,0.35405803,38.105606,396.96448,0.095992476
99,61.1046,60.677344,49.99992,225.5209,121.47031,2073600,0.35405836,38.10548,396.99112,0.095985726
100,61.4136,60.972608,49.99979,225.53291,121.4808,2073600,0.35405865,38.105522,397.01352,0.09598042
101,61.2051,60.801184,50.0,225.54189,121.48995,2073600,0.35405895,38.104984,397.03183,0.09597463
