frame,cpu_ms,gpu_ms
154,161.4071,160.417952
155,156.9408,155.467776
156,161.619599,160.301056
157,154.7399,153.950912
158,158.972701,157.307744
159,163.0991,161.339456
160,158.126899,157.04064
161,157.5512,156.326976
162,161.131701,159.759136
163,162.0624,161.246752
164,155.2748,154.28848
165,172.874199,171.336352
166,160.210101,158.985728
167,165.0352,163.991712
168,160.5264,159.223616
169,160.0715,158.96976
170,164.990299,163.75296
171,156.564501,155.703296
172,164.8663,163.730912
173,164.3121,162.688384
174,165.935199,164.711424
175,167.160001,166.456544
176,161.009999,159.817728
177,162.454101,161.675712
178,155.734899,154.290272
179,169.914501,168.479424
180,162.812199,161.553024
181,160.281601,159.500224
182,163.039799,161.298432
183,164.5226,162.981952
184,156.2034,154.934464
185,161.0968,159.449344
186,170.266601,168.952064
187,157.8507,156.623488
188,174.3529,173.192096
189,165.414399,164.018176
190,165.306201,164.069824
191,165.8654,165.128096
192,162.6284,161.67888
193,169.956299,169.129152
194,163.42,162.015232
195,172.024601,171.054592
196,156.880899,156.16304
197,162.936601,161.400416
198,158.7725,157.203808
199,157.1148,155.875072
200,168.7794,167.67056
201,160.983699,159.516672
202,159.1987,158.136128
203,158.4372,157.218976
204,165.861601,163.71712
205,163.610499,162.547936
206,165.450401,164.662656
207,158.2784,157.449312
208,165.8154,164.395008
209,161.0275,159.765664
210,164.2643,162.6672
211,166.5495,165.21216
212,162.4612,161.630208
213,167.717,166.72752
214,155.2173,154.544128
215,164.823699,163.37344
216,164.181501,162.695808
217,162.4002,158.748064
218,171.6966,170.76224
219,174.1486,172.98528
220,163.8826,163.203904
221,161.0036,159.037408
222,164.850999,163.028768
223,163.5128,161.26112
224,163.705401,162.580288
225,164.999799,164.005408
226,161.5732,160.39344
227,164.542301,163.747744
228,158.8359,157.3608
229,160.4257,158.86416
230,165.0108,163.71456
231,162.1266,161.346528
232,163.03,162.02272
233,160.9703,160.157696
234,161.381999,159.898688
235,169.0776,168.267872
236,158.806601,157.072864
237,159.1696,157.812736
238,160.666599,159.365056
239,159.4731,157.704192
240,158.791901,157.50816
241,158.462,156.537984
242,162.8198,161.57568
243,152.374599,151.643936
244,154.087201,153.0152
245,151.5521,149.813248
246,156.426399,155.12432
247,155.968801,154.281216
248,153.9774,152.8056
249,152.123699,150.429248
250,162.802401,161.564672
251,156.624799,155.80896
252,152.023501,150.505824
253,157.4526,155.929632
254,157.760699,156.346368
255,155.877901,154.853024
256,154.397,153.151136
257,154.9803,154.142176
258,159.513199,158.3456
259,153.4394,151.749824
260,158.2053,156.7696
261,159.310901,158.242528
262,158.159399,156.848576
263,150.039201,149.149696
264,157.858799,156.635936
265,162.8375,161.68736
266,155.049101,154.107232
267,155.753499,154.369568
268,158.582801,157.321344
269,160.5312,159.449568
270,159.92,158.60736
271,159.8306,158.84448
272,161.686,160.425984
273,158.397,157.231008
274,161.4035,160.138752
275,153.4421,152.686592
276,161.6172,160.681984
277,155.6916,154.2376
278,159.3099,157.892608
279,156.3182,155.267072
280,166.6973,165.30432
281,159.023999,158.056608
282,153.032201,151.768896
283,168.531499,167.483712
284,161.047501,159.781568
285,159.9595,159.11072
286,162.431,160.704512
287,153.959,152.628384
288,156.5067,155.299072
289,160.1816,159.012864
290,162.7332,161.428512
291,158.071699,157.304832
292,164.5383,162.912416
293,162.083001,160.837632
294,163.4487,161.98656
295,154.1838,153.184256
296,165.080799,163.745408
297,162.727701,161.992704
298,159.453,158.198976
299,156.7333,155.451232
300,157.635,156.184832
301,172.9505,171.619328
302,161.7256,160.89536
303,154.8422,153.858272
304,158.960499,157.484
305,159.993001,158.84304
306,160.9818,159.830528
307,171.4611,170.246144
308,160.9632,160.156256
309,162.296499,161.184
310,165.141901,164.352608
311,163.060499,162.387328
312,171.991701,170.53696
313,169.6563,168.707456
314,160.0497,158.511232
315,159.6613,158.10432
316,160.9323,159.601088
317,154.1714,153.087776
318,161.116,159.7336
319,163.8292,162.74432
320,164.7027,163.962144
321,153.4085,152.121344
322,167.5174,166.477824
323,158.0937,156.514144
324,153.649899,152.156704
325,157.7145,156.696448
326,149.376501,148.259104
327,162.2429,161.188224
328,158.554099,157.478912
329,164.630701,163.4696
330,165.7386,164.622336
331,156.725699,155.998272
332,165.520301,163.632992
333,170.9466,169.430624
334,162.745,161.514816
335,154.3111,153.643008
336,161.193599,160.23552
337,166.211401,164.636672
338,159.974999,158.55616
339,161.343701,160.433568
340,164.6613,163.39792
341,167.6081,166.82592
342,164.1876,163.35936
343,162.1842,161.127072
344,168.2046,167.3216
345,159.0054,157.761536
346,162.4331,161.34624
347,176.0188,174.525024
348,156.8438,155.593184
349,158.8796,157.81696
350,166.2206,164.877376
351,161.2871,160.454464
352,161.0968,160.077824
353,166.901,166.170624
354,160.381,158.785696
355,174.2136,172.700416
356,162.396,161.054624
357,163.014299,162.20016
358,155.146601,154.155008
359,164.6403,163.047232
360,158.091199,156.910752
361,171.177301,170.296128
362,159.8079,158.437376
363,161.7449,160.818944
364,160.3412,159.01872
365,161.3807,160.314848
366,162.4115,161.266464
367,163.1592,162.384064
368,160.7459,159.768576
369,161.116399,160.29904
370,158.855201,157.590112
371,159.2008,158.111968
372,166.8929,165.36496
373,170.159,168.660608
374,157.1139,156.29088
375,163.5239,162.696544
376,166.087799,164.601792
377,163.859901,162.583008
378,161.102,160.34592
379,159.4488,158.060544
380,163.1441,161.867776
381,166.7418,165.289856
382,153.777799,152.399872
383,156.799501,155.139328
384,154.1689,152.635392
385,160.472199,159.365024
386,153.030101,151.791648
387,152.5411,151.501344
388,153.7596,152.276992
389,157.4386,155.596928
390,161.0063,159.54912
391,157.8117,156.757856
392,152.1431,150.923744
393,154.2996,152.597696
394,155.6054,154.318688
395,157.590299,156.604608
396,147.966001,146.498624
397,151.8098,150.290688
398,152.667,151.438112
399,152.6387,151.73632
400,156.8753,155.443296
401,150.421399,148.678784
402,154.573601,153.305088
403,148.066499,146.9952
404,157.276601,156.061696
405,156.828399,155.725728
406,155.872801,154.466624
407,150.9061,149.850112
408,161.3698,160.18208
409,159.1985,158.45376
410,157.3064,155.527168
411,157.783999,156.40576
412,153.1628,151.806336
413,155.765601,154.667008
414,158.925,157.690944
415,156.771,155.509376
416,148.6999,147.48272
417,157.829999,156.133376
418,160.663501,159.407872
419,156.5078,155.36128
420,149.6502,148.377472
421,150.8202,149.737472
422,151.1629,149.939712
423,151.1961,150.115648
424,154.243099,152.885856
425,155.0255,153.896864
426,158.864,157.761536
427,157.7936,156.798912
428,164.792401,163.547136
429,148.6028,147.816448
430,166.0334,164.96672
431,162.9761,161.479648
432,164.8585,163.670112
433,160.2829,159.434592
