# RunType: QualityPreset: ULTRA
frame,cpu_ms,gpu_ms,volume,shadow,sdf,pixels,distance,spp,hit_ratio
0,205.0193,204.72832,3.59075,48.544407,9.394896,1440000,0.18770911,61.913605,0.029922917
1,200.9315,200.59856,3.5878334,48.563484,9.396851,1440000,0.18767342,61.96997,0.029898612
2,193.9143,193.594304,3.5806668,48.589996,9.400393,1440000,0.18763815,62.014977,0.029838888
3,201.0036,200.709664,3.57375,48.60798,9.400429,1440000,0.18760449,62.044865,0.02978125
4,202.4047,202.100736,3.5638332,48.621273,9.399729,1440000,0.18757086,62.07022,0.02969861
5,205.9406,205.641728,3.5488334,48.631485,9.401816,1440000,0.18753934,62.08893,0.029573612
6,189.7318,189.381056,3.5309167,48.649662,9.404202,1440000,0.18750875,62.102524,0.029424306
7,202.902699,202.662752,3.511,48.656544,9.407406,1440000,0.1874823,62.11714,0.029258333
8,190.728301,190.381664,3.4975834,48.671604,9.409513,1440000,0.18745597,62.11414,0.029146528
9,204.696299,204.326912,3.487,48.69704,9.414271,1440000,0.18743287,62.10759,0.029058333
10,192.993201,192.67536,3.4785833,48.709034,9.417947,1440000,0.18741027,62.108067,0.028988194
11,201.463,201.146368,3.4664166,48.733154,9.419152,1440000,0.1873905,62.101913,0.028886806
12,232.410799,232.030464,3.4509168,48.74283,9.422702,1440000,0.18736896,62.09227,0.02875764
13,214.3757,213.941056,3.4335,48.742985,9.426919,1440000,0.18734506,62.095684,0.0286125
14,212.842801,212.47008,3.4149168,48.73499,9.427209,1440000,0.18732643,62.112038,0.02845764
15,224.2723,223.976032,3.39675,48.7307,9.4262085,1440000,0.18731208,62.114864,0.02830625
16,194.5268,194.23392,3.3798332,48.736076,9.42612,1440000,0.18729906,62.126644,0.028165277
17,211.4135,211.12192,3.3661666,48.730835,9.423463,1440000,0.1872893,62.123734,0.02805139
18,204.2246,203.98816,3.361,48.73604,9.42304,1440000,0.18728024,62.11947,0.028008332
19,210.5374,210.202656,3.3479166,48.748665,9.422077,1440000,0.18727429,62.089363,0.027899306
20,190.0661,189.77312,3.3376667,48.77447,9.418494,1440000,0.18727027,62.06858,0.02781389
21,244.356999,243.959808,3.3201666,48.80314,9.416988,1440000,0.18726681,62.048294,0.027668055
22,213.7798,213.420032,3.3123333,48.83261,9.414816,1440000,0.18726173,62.039803,0.027602777
23,197.659201,197.235872,3.2993333,48.86309,9.413599,1440000,0.18725646,62.026417,0.027494444
24,192.1829,191.88112,3.28725,48.88944,9.411898,1440000,0.18725021,62.020363,0.02739375
25,198.4579,198.169024,3.28025,48.91924,9.413012,1440000,0.18724136,62.021748,0.027335417
26,201.252099,200.926144,3.26925,48.937695,9.412541,1440000,0.18722965,62.034058,0.02724375
27,208.056001,207.650816,3.2603333,48.936783,9.413651,1440000,0.1872146,62.03811,0.027169444
28,197.1644,196.802208,3.2518334,48.90792,9.41737,1440000,0.18719877,62.06146,0.027098611
29,212.1182,211.787616,3.2414167,48.883778,9.419438,1440000,0.18718418,62.07305,0.027011806
30,210.8407,210.531712,3.2349167,48.850765,9.423684,1440000,0.18716848,62.089954,0.026957639
31,221.0638,220.725248,3.2275,48.8076,9.42961,1440000,0.18715404,62.102203,0.026895834
32,209.926,209.625696,3.21925,48.746983,9.433386,1440000,0.18714066,62.123276,0.026827084
33,200.0183,199.776064,3.2130833,48.66959,9.433939,1440000,0.18712813,62.115726,0.026775694
34,207.3266,207.035392,3.20625,48.59032,9.433634,1440000,0.18711755,62.110985,0.02671875
35,209.2592,208.961024,3.19975,48.5036,9.434964,1440000,0.1871059,62.071686,0.026664583
36,188.1728,187.880096,3.1923332,48.412212,9.43798,1440000,0.18709467,62.04551,0.026602779
37,196.985699,196.686368,3.192,48.31788,9.442348,1440000,0.18708397,62.01695,0.0266
38,204.749901,204.43696,3.1903334,48.241165,9.444579,1440000,0.18707159,61.98543,0.026586112
39,200.9571,200.637696,3.1869166,48.17165,9.442571,1440000,0.18705755,61.93055,0.02655764
40,222.3263,221.997056,3.18625,48.09535,9.443167,1440000,0.18704343,61.87273,0.026552083
41,217.2675,216.889696,3.1855834,48.02548,9.440118,1440000,0.18702851,61.806454,0.026546529
42,212.7431,212.447232,3.1849167,47.95223,9.439815,1440000,0.18701594,61.743584,0.026540972
43,201.907899,201.681952,3.187,47.891666,9.439785,1440000,0.18700588,61.661594,0.026558334
44,182.055001,181.808576,3.1895,47.820484,9.437493,1440000,0.18699822,61.573097,0.026579166
45,195.0295,194.701216,3.1936667,47.756176,9.438379,1440000,0.18699358,61.49803,0.02661389
46,201.8956,201.58656,3.1983333,47.708065,9.439162,1440000,0.18699078,61.421165,0.026652778
47,200.813,200.512512,3.2085,47.65974,9.434245,1440000,0.18699169,61.359383,0.0267375
48,202.258299,201.931456,3.22725,47.646854,9.430792,1440000,0.18699475,61.28386,0.02689375
49,193.3703,193.071104,3.23975,47.645596,9.428971,1440000,0.1870011,61.215187,0.026997916
50,195.411401,195.092448,3.2534168,47.635445,9.428263,1440000,0.18701138,61.1562,0.027111806
51,196.0803,195.779616,3.27425,47.635105,9.420909,1440000,0.18702362,61.09439,0.027285418
52,193.4019,193.095072,3.2985833,47.64639,9.410636,1440000,0.18703781,61.043095,0.027488194
53,192.3851,192.100704,3.3148334,47.670116,9.405231,1440000,0.1870534,60.989944,0.02762361
54,193.3973,193.105216,3.3305833,47.70869,9.401024,1440000,0.18706861,60.930084,0.027754862
55,209.9804,209.655072,3.3499167,47.761055,9.3950205,1440000,0.18708427,60.883766,0.027915971
56,177.955199,177.662368,3.3704166,47.814335,9.390857,1440000,0.18710196,60.845043,0.028086806
57,191.960701,191.64256,3.38425,47.887054,9.386576,1440000,0.18711798,60.827766,0.028202083
58,217.6567,217.23072,3.3940833,47.97765,9.387347,1440000,0.18713489,60.832935,0.028284028
59,198.0175,197.68112,3.4053333,48.091167,9.388867,1440000,0.18715179,60.84096,0.028377777
60,196.0108,195.608576,3.4158332,48.245426,9.38543,1440000,0.18716463,60.856415,0.028465278
61,195.1676,194.775616,3.427,48.39869,9.383154,1440000,0.18717708,60.866417,0.028558332
62,186.1576,185.857728,3.4395833,48.567,9.385221,1440000,0.1871913,60.886303,0.028663194
63,212.5769,212.242272,3.4515834,48.757465,9.380675,1440000,0.18720588,60.92243,0.028763194
64,193.6125,193.305824,3.462,48.9499,9.376276,1440000,0.18722634,60.961395,0.02885
65,205.514,205.182496,3.47225,49.19261,9.37404,1440000,0.18724672,61.021717,0.028935418
66,211.3186,210.966528,3.4806666,49.402954,9.370136,1440000,0.18727355,61.08114,0.029005555
67,210.512799,210.147328,3.492,49.658173,9.370416,1440000,0.18730055,61.14827,0.0291
68,208.6905,208.368672,3.50075,49.93711,9.371392,1440000,0.18732804,61.230164,0.029172916
69,207.738901,207.431872,3.5111666,50.207756,9.374375,1440000,0.1873561,61.332924,0.029259723
70,209.839299,209.53472,3.5219166,50.4749,9.374108,1440000,0.18738581,61.451828,0.029349305
71,215.023001,214.7192,3.5335834,50.755444,9.370066,1440000,0.18741699,61.580315,0.029446527
72,215.5022,215.199744,3.5483334,51.043934,9.368435,1440000,0.18744719,61.727543,0.029569445
73,208.6706,208.367456,3.56275,51.376072,9.37095,1440000,0.187479,61.892803,0.029689584
74,221.187499,220.848256,3.5789165,51.720974,9.369473,1440000,0.18750945,62.065277,0.029824305
75,240.426501,240.100448,3.6035,52.06597,9.361704,1440000,0.18753673,62.27504,0.030029166
76,208.8688,208.558464,3.6360834,52.41112,9.353682,1440000,0.18756366,62.498837,0.030300694
77,216.951,216.599424,3.66025,52.782295,9.346596,1440000,0.1875831,62.704998,0.030502083
78,230.5695,230.154112,3.67375,53.096527,9.34143,1440000,0.18759938,62.929943,0.030614583
79,232.9942,232.609408,3.697,53.4187,9.334826,1440000,0.18761162,63.1841,0.030808333
80,219.3638,219.048288,3.7196667,53.748116,9.325899,1440000,0.18761845,63.444355,0.030997222
81,220.2662,219.977376,3.7344167,54.029373,9.318239,1440000,0.18761949,63.703564,0.031120138
82,228.7109,228.4032,3.747,54.256927,9.313122,1440000,0.18761459,63.963856,0.031225
83,228.7389,228.365888,3.755,54.426205,9.312677,1440000,0.18760632,64.239784,0.031291667
84,222.2376,221.92128,3.76075,54.54905,9.308999,1440000,0.18759556,64.54441,0.031339582
85,234.34,234.054112,3.7641666,54.648815,9.3062105,1440000,0.1875847,64.87383,0.031368054
86,220.9908,220.701248,3.7699168,54.70491,9.303651,1440000,0.18757257,65.20436,0.031415973
87,218.382499,218.08128,3.77475,54.74016,9.299683,1440000,0.18756199,65.53961,0.03145625
88,222.489401,222.192928,3.7798333,54.739105,9.296654,1440000,0.18755321,65.88533,0.03149861
89,222.3897,222.087616,3.7849166,54.705006,9.29402,1440000,0.18754548,66.23931,0.03154097
90,235.1642,234.847744,3.7950833,54.65601,9.287421,1440000,0.1875405,66.56232,0.031625696
91,217.1926,216.860224,3.8045,54.58942,9.288691,1440000,0.18753675,66.86338,0.031704165
92,215.9045,215.582432,3.8159168,54.49419,9.285319,1440000,0.18753672,67.15648,0.031799305
93,221.9672,221.666016,3.8273335,54.40463,9.284601,1440000,0.18753907,67.45935,0.031894445
94,236.501899,236.18768,3.8359168,54.307693,9.291846,1440000,0.1875422,67.71215,0.03196597
95,227.690701,227.391072,3.8411667,54.175888,9.292095,1440000,0.18754083,67.93358,0.03200972
96,214.5894,214.306016,3.8449166,54.026432,9.293556,1440000,0.18753245,68.1158,0.032040972
97,216.7513,216.446208,3.851,53.869755,9.293752,1440000,0.18751723,68.24185,0.032091666
98,224.988599,224.68608,3.8555834,53.692684,9.294383,1440000,0.18749617,68.348625,0.03212986
99,212.708001,212.397824,3.8573334,53.500168,9.298947,1440000,0.18747023,68.41069,0.032144446
100,210.789599,210.503968,3.8568332,53.26845,9.305259,1440000,0.18744792,68.465225,0.032140277
101,214.580901,214.276096,3.858,53.035446,9.308454,1440000,0.18742946,68.48222,0.03215
102,220.8512,220.64288,3.8585,52.80982,9.314194,1440000,0.18741663,68.480484,0.032154165
103,220.5462,220.125504,3.8558333,52.629868,9.319332,1440000,0.18741022,68.4476,0.032131944
104,226.712499,226.37952,3.84225,52.468845,9.329372,1440000,0.1874128,68.403465,0.03201875
105,224.0988,223.802752,3.83,52.335762,9.338649,1440000,0.18741968,68.34912,0.031916667
106,202.2537,201.98272,3.82275,52.22798,9.3431,1440000,0.18742791,68.2778,0.03185625
107,209.096801,208.773568,3.8173332,52.144806,9.350528,1440000,0.18743688,68.21032,0.03181111
108,194.3223,194.031616,3.8149166,52.086796,9.354737,1440000,0.18744713,68.139175,0.03179097
109,229.4924,229.198624,3.8095,52.031113,9.359934,1440000,0.18745597,68.037575,0.031745832
110,208.7621,208.476064,3.8025,51.989765,9.364163,1440000,0.1874637,67.91685,0.0316875
111,228.5458,228.233216,3.7919166,51.94749,9.368701,1440000,0.18747011,67.79521,0.031599306
112,203.5174,203.224992,3.7843332,51.9118,9.370508,1440000,0.18747494,67.66249,0.03153611
113,221.862899,221.564032,3.77475,51.890472,9.372093,1440000,0.18747847,67.490135,0.03145625
114,221.735101,221.372032,3.7665,51.875824,9.374571,1440000,0.18747987,67.31611,0.0313875
115,211.5193,211.237152,3.75875,51.872093,9.37346,1440000,0.18748048,67.13459,0.031322915
116,216.8596,216.516608,3.7478333,51.872845,9.3729725,1440000,0.18748,66.91237,0.031231944
117,225.5893,225.22752,3.7421668,51.864796,9.375438,1440000,0.18747808,66.71539,0.031184722
118,206.653699,206.321664,3.7355833,51.8427,9.37574,1440000,0.18747729,66.549385,0.031129861
119,224.856001,224.561216,3.7268333,51.844772,9.376054,1440000,0.18747798,66.39058,0.031056944
120,230.9286,230.600384,3.7220833,51.834496,9.374873,1440000,0.18747948,66.252365,0.031017361
121,232.662799,232.330016,3.7156668,51.81966,9.371936,1440000,0.1874809,66.135704,0.030963888
122,203.773901,203.431936,3.7074168,51.776943,9.373241,1440000,0.18748039,66.047874,0.030895138
123,228.3054,227.971072,3.6993334,51.71741,9.373322,1440000,0.18747957,65.95914,0.030827777
124,203.1559,202.780672,3.6961668,51.661633,9.370162,1440000,0.18747854,65.90551,0.03080139
125,199.158799,198.834816,3.69175,51.610504,9.3727,1440000,0.187479,65.85385,0.030764583
126,214.2397,213.953888,3.6875834,51.569523,9.376202,1440000,0.18747906,65.80956,0.030729862
127,214.3467,214.057312,3.68575,51.541527,9.379453,1440000,0.18748075,65.76839,0.030714583
128,197.840601,197.522752,3.68375,51.50632,9.381094,1440000,0.18747915,65.72135,0.030697918
