# RunType: QualityPreset: LOW
frame,cpu_ms,gpu_ms,volume,shadow,sdf,pixels,distance,spp,hit_ratio
0,20.7098,20.382592,3.228546,15.6715975,11.889547,1440000,0.4116673,34.313606,0.14700486
1,21.5333,21.221376,3.229632,15.680597,11.890769,1440000,0.41165754,34.31017,0.14701945
2,21.4881,21.152736,3.2311702,15.688444,11.891152,1440000,0.41164705,34.30697,0.14704584
3,21.6999,21.382528,3.2325723,15.696141,11.892442,1440000,0.41163695,34.301964,0.14705764
4,33.7607,33.460768,3.2339103,15.702453,11.893232,1440000,0.4116264,34.29724,0.14706528
5,22.598399,22.263808,3.2354,15.708539,11.894809,1440000,0.41161016,34.29303,0.14708403
6,23.2239,22.892544,3.2377443,15.715697,11.89616,1440000,0.4115992,34.289288,0.1470868
7,23.7281,23.420448,3.2398076,15.719872,11.897184,1440000,0.4115884,34.285965,0.14709653
8,23.9251,23.623296,3.242771,15.723845,11.898416,1440000,0.41157734,34.281136,0.14711806
9,21.001701,20.70528,3.2457154,15.726776,11.900114,1440000,0.41156656,34.27832,0.14714305
10,23.114,22.771584,3.24757,15.728355,11.901596,1440000,0.41155636,34.276154,0.14715208
11,21.602,21.239296,3.2494833,15.729013,11.902757,1440000,0.41154543,34.271847,0.14717083
12,21.7766,21.461184,3.2520292,15.729153,11.904361,1440000,0.41153476,34.26973,0.14717986
13,22.532,22.221504,3.2536368,15.727533,11.906234,1440000,0.41152415,34.265648,0.14719236
14,22.2962,21.94432,3.2562652,15.726547,11.907733,1440000,0.41151348,34.26168,0.14720903
15,21.3654,21.029536,3.2581813,15.723042,11.909461,1440000,0.4115029,34.257313,0.14723264
16,22.0017,21.70096,3.259784,15.720883,11.911161,1440000,0.41149265,34.252785,0.14724584
17,21.5401,21.208,3.2615619,15.718799,11.91295,1440000,0.4114823,34.248062,0.14725626
18,21.2139,20.836576,3.2633548,15.71765,11.914927,1440000,0.4114724,34.24467,0.14727153
19,22.093199,21.799552,3.2647035,15.715371,11.917032,1440000,0.4114631,34.24006,0.14727709
20,21.535601,21.221376,3.2665668,15.713503,11.919078,1440000,0.4114534,34.235607,0.14730972
21,21.5407,21.226368,3.2681193,15.710208,11.9205065,1440000,0.41144407,34.232056,0.14732222
22,20.2628,19.949568,3.2691994,15.708065,11.922594,1440000,0.41143453,34.228218,0.14732847
23,21.605799,21.248256,3.2707145,15.705875,11.924589,1440000,0.41142607,34.222244,0.14733611
24,20.888601,20.223488,3.2717855,15.704117,11.926761,1440000,0.411417,34.215954,0.14734861
25,20.8567,20.527264,3.2736084,15.702184,11.928735,1440000,0.4114085,34.21108,0.14736041
26,19.7238,19.41504,3.2757437,15.700977,11.930936,1440000,0.4114008,34.206253,0.1473868
27,20.5909,20.228096,3.2772994,15.700286,11.933964,1440000,0.4113932,34.201225,0.14740348
28,20.8973,20.555232,3.2785244,15.699902,11.935823,1440000,0.41138577,34.196976,0.14741458
29,19.658399,19.344288,3.2799375,15.699381,11.93736,1440000,0.4113778,34.192093,0.14742014
30,20.2402,19.935488,3.281543,15.699831,11.938058,1440000,0.41137055,34.185738,0.14742847
31,20.343801,20.01744,3.2830722,15.699151,11.938678,1440000,0.41136348,34.1791,0.14744723
32,20.5461,20.234976,3.2848008,15.699308,11.939586,1440000,0.4113565,34.17368,0.14746597
33,22.4809,22.145696,3.2864535,15.7004,11.940123,1440000,0.4113496,34.168293,0.14748195
34,20.838,20.539776,3.2879472,15.701472,11.940789,1440000,0.41134185,34.163754,0.14749931
35,20.810199,20.437088,3.2890584,15.7022,11.941472,1440000,0.411335,34.158546,0.14749652
36,20.5185,20.207072,3.2906868,15.702444,11.941792,1440000,0.41132808,34.152103,0.14751111
37,28.3602,28.026752,3.2924862,15.703506,11.941758,1440000,0.41132167,34.146183,0.14752986
38,20.233001,19.906976,3.294025,15.702948,11.941676,1440000,0.4113125,34.139393,0.14755139
39,21.3931,21.045184,3.2953508,15.699974,11.941545,1440000,0.4113063,34.13269,0.14757153
40,21.1052,20.752576,3.296195,15.698566,11.941635,1440000,0.41129988,34.127243,0.14757013
41,20.5777,20.1848,3.2972138,15.697443,11.941922,1440000,0.41129348,34.12103,0.14758055
42,21.562,21.192704,3.2987862,15.695885,11.942181,1440000,0.4112881,34.11451,0.14760694
43,20.4233,20.029088,3.299932,15.693803,11.941858,1440000,0.41128197,34.10947,0.14762847
44,20.9684,20.621312,3.3001368,15.691775,11.9418335,1440000,0.41127652,34.104427,0.14763889
45,20.916399,20.497568,3.3009555,15.6890335,11.9415865,1440000,0.41127133,34.099236,0.14765833
46,20.527401,20.09904,3.3007417,15.685978,11.941658,1440000,0.41126627,34.092777,0.14765763
47,21.8267,21.430272,3.300705,15.681896,11.941438,1440000,0.4112617,34.08712,0.14765972
48,20.300799,19.883744,3.3018174,15.679977,11.941014,1440000,0.41125706,34.08069,0.14769861
49,20.475101,20.071616,3.302266,15.675797,11.940602,1440000,0.411253,34.07551,0.14770347
50,21.8363,21.341376,3.302552,15.672632,11.940258,1440000,0.41124916,34.07071,0.14771041
