frame,cpu_ms,gpu_ms,volume,shadow,sdf,pixels,distance,spp,sph,hit_ratio
0,18.7807,17.646848,29.993185,121.039635,106.66317,1440000,0.38306263,28.572758,257.69598,0.110877775
1,17.6888,16.896064,29.99336,121.03503,106.6631,1440000,0.38306233,28.572441,257.69147,0.110878475
2,18.4493,17.712128,29.993618,121.030815,106.66411,1440000,0.3830621,28.571934,257.68854,0.110877775
3,18.4033,17.54016,29.993198,121.025955,106.663185,1440000,0.38306183,28.571604,257.68234,0.11087917
4,17.8925,16.828416,29.992748,121.02236,106.662025,1440000,0.38306153,28.571383,257.67712,0.11088055
5,18.1397,17.095008,29.992641,121.01945,106.66286,1440000,0.38306126,28.570961,257.67493,0.11087986
6,18.5042,17.289152,29.99271,121.01761,106.66451,1440000,0.38306102,28.570591,257.67484,0.110878475
7,18.3394,17.317216,29.992722,121.014626,106.66473,1440000,0.38306075,28.570286,257.6721,0.110878475
8,18.3805,17.29376,29.99249,121.00905,106.6636,1440000,0.3830605,28.569874,257.66513,0.11087986
9,18.1025,17.297568,29.99236,121.00395,106.66243,1440000,0.38306022,28.569525,257.65875,0.11088125
10,18.1137,17.158144,29.992704,121.00195,106.66343,1440000,0.38305995,28.569271,257.65808,0.11088055
11,18.3026,17.249664,29.99301,121.00009,106.66429,1440000,0.38305968,28.569016,257.6574,0.11087986
12,18.6736,17.6128,29.993618,121.000626,106.6665,1440000,0.3830594,28.568851,257.66074,0.110877775
13,17.9968,17.063936,29.993105,120.9954,106.66467,1440000,0.38305914,28.568548,257.6532,0.11087986
14,17.6687,17.057024,29.99313,120.99224,106.664696,1440000,0.38305888,28.568203,257.65005,0.11087986
15,17.9801,17.263584,29.993223,120.98767,106.664925,1440000,0.38305864,28.567734,257.6458,0.11087986
16,17.6102,16.98496,29.993267,120.983826,106.665146,1440000,0.38305834,28.567335,257.64224,0.11087986
17,17.761,17.087456,29.993887,120.981064,106.66733,1440000,0.3830581,28.566803,257.64227,0.110877775
18,17.6485,17.036064,29.993692,120.97801,106.666985,1440000,0.38305783,28.566584,257.6387,0.110878475
19,17.7296,17.159936,29.993185,120.97324,106.66525,1440000,0.38305756,28.566345,257.63168,0.11088055
20,17.289,16.660096,29.99311,120.9676,106.66504,1440000,0.3830573,28.565865,257.62573,0.11088125
21,17.5672,16.995488,29.992496,120.96056,106.662544,1440000,0.38305706,28.565456,257.6156,0.110884026
22,18.4935,17.796768,29.992798,120.95715,106.66269,1440000,0.3830568,28.565128,257.61264,0.110884026
23,22.5545,21.968032,29.993599,120.95492,106.66507,1440000,0.38305652,28.564695,257.6136,0.11088195
24,17.8206,17.214016,29.993599,120.95051,106.66469,1440000,0.3830562,28.564342,257.6088,0.11088264
25,17.3974,16.760608,29.993706,120.94634,106.665115,1440000,0.38305593,28.563942,257.60516,0.11088264
26,17.2816,16.715776,29.993155,120.94126,106.66401,1440000,0.38305566,28.563549,257.59842,0.110884026
27,17.5017,16.92528,29.992373,120.93583,106.66224,1440000,0.38305542,28.563202,257.59045,0.11088611
28,17.4116,16.840128,29.991808,120.9309,106.66133,1440000,0.38305515,28.56285,257.58405,0.1108875
29,17.6072,17.038048,29.991884,120.929504,106.66225,1440000,0.38305488,28.562626,257.58362,0.110886805
