frame,cpu_ms,gpu_ms,volume,shadow,sdf,pixels,distance,spp,sph,hit_ratio
0,18.2315,17.50944,29.992409,121.01911,106.66155,1440000,0.38306138,28.571114,257.67307,0.11088125
1,18.7727,18.054624,29.992447,121.017365,106.663155,1440000,0.3830611,28.570744,257.67297,0.11087986
2,19.5538,18.907168,29.992897,121.01608,106.665344,1440000,0.3830608,28.570356,257.67432,0.110877775
3,17.7026,17.010688,29.992603,121.01048,106.66416,1440000,0.38306054,28.56993,257.66724,0.11087917
4,17.9254,17.154208,29.992271,121.00477,106.66243,1440000,0.38306028,28.569605,257.6595,0.11088125
5,18.5142,17.60912,29.992847,121.003975,106.66403,1440000,0.38306,28.5694,257.66086,0.11087986
6,18.5136,17.634912,29.992804,120.99992,106.66355,1440000,0.38305977,28.56907,257.65628,0.11088055
7,18.5372,17.815552,29.99355,121.002106,106.66645,1440000,0.3830595,28.569002,257.6621,0.110877775
8,20.8665,19.901824,29.993456,120.99792,106.665985,1440000,0.3830592,28.568655,257.65735,0.110878475
9,19.2364,18.507648,29.99311,120.992744,106.66467,1440000,0.3830589,28.568253,257.6505,0.11087986
10,17.9871,16.922624,29.993017,120.986946,106.66423,1440000,0.38305864,28.56773,257.6442,0.11088055
11,18.5811,17.807872,29.993267,120.983826,106.665146,1440000,0.38305837,28.567335,257.64224,0.11087986
12,22.1542,21.008736,29.993876,120.98165,106.667404,1440000,0.3830581,28.566875,257.64294,0.110877775
13,20.7517,19.212288,29.993692,120.97801,106.666985,1440000,0.38305777,28.566584,257.6387,0.110878475
14,20.5897,19.456672,29.99338,120.972626,106.666046,1440000,0.38305745,28.566208,257.63205,0.11087986
15,18.2164,17.105792,29.993135,120.96586,106.66518,1440000,0.38305715,28.56569,257.62418,0.11088125
16,23.3989,22.1016,29.992685,120.95897,106.66268,1440000,0.38305688,28.565315,257.61435,0.110884026
17,19.7059,18.87568,29.993519,120.95613,106.66499,1440000,0.38305652,28.564812,257.61462,0.11088195
18,18.3854,17.72032,29.993574,120.950554,106.6647,1440000,0.38305622,28.564346,257.60883,0.11088264
19,18.4868,17.67776,29.993505,120.946304,106.66442,1440000,0.38305596,28.564016,257.60422,0.11088333
20,17.6519,17.019168,29.993011,120.94065,106.66328,1440000,0.3830557,28.563564,257.59692,0.11088472
21,19.861,19.26656,29.992397,120.93608,106.662254,1440000,0.38305542,28.563234,257.59073,0.11088611
22,18.1999,17.635872,29.991827,120.93085,106.661354,1440000,0.38305512,28.562847,257.584,0.1108875
23,18.3683,17.707424,29.991709,120.92852,106.66163,1440000,0.38305485,28.562607,257.58185,0.1108875
24,19.0279,18.009824,29.991608,120.92494,106.661316,1440000,0.38305458,28.562344,257.57788,0.1108882
25,19.3059,18.470176,29.99236,120.92352,106.6637,1440000,0.38305432,28.561996,257.5796,0.11088611
26,19.5622,18.669568,29.992453,120.91863,106.663216,1440000,0.38305402,28.56159,257.5743,0.110886805
27,19.4118,18.046976,29.992641,120.91394,106.66293,1440000,0.38305372,28.561241,257.56952,0.1108875
28,19.7765,18.589696,29.992899,120.90913,106.66269,1440000,0.38305345,28.560886,257.5647,0.1108882
29,20.5789,19.824064,29.993668,120.90884,106.66431,1440000,0.38305315,28.56076,257.5668,0.110886805
30,20.4687,19.059744,29.993738,120.90415,106.66331,1440000,0.38305283,28.560495,257.5612,0.1108882
31,17.9245,17.164,29.993174,120.89635,106.66034,1440000,0.38305253,28.560133,257.54987,0.11089167
32,18.7506,17.639392,29.993225,120.892334,106.65995,1440000,0.38305226,28.55983,257.5455,0.11089236
33,17.8039,17.02464,29.992567,120.88567,106.65756,1440000,0.383052,28.559467,257.5358,0.11089514
34,18.3394,17.607072,29.992617,120.88041,106.657074,1440000,0.38305172,28.559013,257.5301,0.110895835
35,18.1047,17.156672,29.993006,120.878654,106.65794,1440000,0.38305146,28.55878,257.5296,0.11089514
36,17.7847,17.127424,29.992598,120.87301,106.65615,1440000,0.38305116,28.558449,257.52176,0.11089722
37,17.7981,16.898048,29.992191,120.86657,106.65387,1440000,0.38305092,28.558151,257.51263,0.1109
38,18.1005,17.152992,29.992937,120.86446,106.6555,1440000,0.38305065,28.557825,257.5129,0.110898614
39,18.1318,17.308608,29.993406,120.86013,106.655556,1440000,0.38305038,28.5574,257.5091,0.110898614
40,17.8197,16.992352,29.993582,120.85549,106.65511,1440000,0.3830501,28.557035,257.50418,0.11089931
41,18.0073,17.141856,29.993568,120.85049,106.65388,1440000,0.38304988,28.556698,257.49792,0.11090069
42,18.3214,17.160192,29.992912,120.8417,106.64988,1440000,0.3830496,28.556282,257.4845,0.11090486
43,18.1635,16.949248,29.992893,120.83539,106.64822,1440000,0.3830493,28.555931,257.4765,0.11090694
44,18.4553,16.911616,29.9931,120.83097,106.647675,1440000,0.38304907,28.555584,257.47174,0.11090764
45,18.1552,16.8712,29.993576,120.82945,106.6488,1440000,0.38304877,28.555412,257.47183,0.11090694
46,17.9231,16.845376,29.99412,120.82884,106.64958,1440000,0.3830485,28.555315,257.47253,0.11090625
47,18.3265,17.469056,29.99325,120.820755,106.6452,1440000,0.38304824,28.555084,257.45923,0.11091111
48,19.2979,17.786784,29.993376,120.81741,106.644005,1440000,0.38304797,28.554955,257.4548,0.1109125
49,18.7229,17.666176,29.993301,120.812515,106.64233,1440000,0.3830477,28.554752,257.44815,0.11091458
50,19.5773,17.706656,29.993551,120.80798,106.64193,1440000,0.38304743,28.554413,257.44345,0.11091528
51,19.7142,17.84832,29.99481,120.8081,106.645546,1440000,0.3830471,28.554073,257.44846,0.11091181
52,18.6079,17.522144,29.994108,120.79875,106.641914,1440000,0.38304684,28.553627,257.43478,0.110915974
53,18.3816,17.442816,29.993702,120.79245,106.64004,1440000,0.38304657,28.553211,257.42618,0.11091805
54,19.6273,18.62656,29.993639,120.788506,106.639694,1440000,0.3830463,28.55291,257.42184,0.11091875
55,17.839,17.094656,29.993376,120.783134,106.638626,1440000,0.383046,28.552523,257.41513,0.11092014
56,17.8222,16.932864,29.99312,120.77748,106.63832,1440000,0.38304576,28.552011,257.40894,0.11092083
57,18.8144,18.158912,29.993113,120.774956,106.63916,1440000,0.3830455,28.551645,257.40723,0.11092014
58,18.6143,17.408,29.993795,120.77513,106.64265,1440000,0.3830452,28.551233,257.41156,0.11091667
59,18.0023,16.996864,29.993425,120.77034,106.64152,1440000,0.38304493,28.550892,257.40527,0.11091805
60,17.6862,16.971744,29.993088,120.7656,106.641235,1440000,0.38304466,28.550478,257.39993,0.11091875
61,19.4786,18.249632,29.993107,120.76257,106.64213,1440000,0.38304442,28.550064,257.3978,0.11091805
62,19.0758,17.37728,29.993965,120.76384,106.64575,1440000,0.38304412,28.549809,257.40356,0.11091458
63,18.6972,18.11488,29.99399,120.75997,106.64592,1440000,0.38304383,28.5494,257.3999,0.11091458
64,18.3304,17.763872,29.994558,120.757225,106.64841,1440000,0.38304356,28.548899,257.4002,0.1109125
65,17.3411,16.770944,29.994627,120.754875,106.648895,1440000,0.3830433,28.548698,257.39838,0.1109125
66,17.8074,17.252352,29.99441,120.75229,106.64777,1440000,0.38304302,28.548622,257.39447,0.11091389
67,17.9706,17.350496,29.994621,120.75154,106.649376,1440000,0.38304275,28.548384,257.39554,0.1109125
68,17.5927,17.010688,29.994421,120.74789,106.649414,1440000,0.3830425,28.547958,257.39172,0.1109125
69,17.95,16.927584,29.994051,120.74305,106.64904,1440000,0.38304225,28.54752,257.38614,0.110913195
70,17.5934,16.85504,29.993658,120.739235,106.64788,1440000,0.38304198,28.547281,257.38077,0.11091458
71,18.6215,17.956864,29.993776,120.73697,106.64885,1440000,0.38304174,28.546974,257.37958,0.11091389
