frame,cpu_ms,gpu_ms,volume,shadow,sdf,pixels,distance,spp,sph,hit_ratio
52,18.1272,17.544864,29.994158,120.82869,106.64958,1440000,0.38304847,28.555302,257.4724,0.11090625
53,18.3143,17.733216,29.993376,120.82025,106.64523,1440000,0.38304824,28.55505,257.45886,0.11091111
54,17.7387,17.177728,29.99322,120.81655,106.64331,1440000,0.38304794,28.554943,257.45306,0.110913195
55,18.0185,17.355104,29.993206,120.81138,106.64171,1440000,0.3830477,28.554726,257.4463,0.11091528
56,17.7471,17.130976,29.993557,120.80792,106.64191,1440000,0.3830474,28.554405,257.4434,0.11091528
57,17.7546,17.175168,29.994816,120.80775,106.645546,1440000,0.38304716,28.554035,257.44812,0.11091181
58,17.73,17.0008,29.99421,120.80044,106.64251,1440000,0.38304687,28.553713,257.43716,0.11091528
59,17.8083,17.129472,29.99384,120.793655,106.64068,1440000,0.38304663,28.553255,257.42816,0.11091736
60,17.945,17.179872,29.993395,120.78899,106.63903,1440000,0.3830464,28.55304,257.42142,0.110919446
61,18.1984,17.135616,29.993551,120.78559,106.639305,1440000,0.38304612,28.552711,257.41846,0.110919446
62,18.508,17.839936,29.993313,120.78011,106.63883,1440000,0.38304588,28.552204,257.41226,0.11092014
63,18.1147,17.494048,29.99322,120.7774,106.63914,1440000,0.38304558,28.551926,257.40976,0.11092014
64,18.9463,17.35744,29.993338,120.7739,106.64067,1440000,0.38304535,28.551365,257.4079,0.11091875
65,17.6108,17.011008,29.993425,120.77247,106.64141,1440000,0.38304505,28.551119,257.40732,0.11091805
66,17.9053,17.121952,29.992956,120.76655,106.64044,1440000,0.3830448,28.55066,257.39996,0.110919446
67,18.4126,17.811936,29.992794,120.76272,106.64068,1440000,0.38304448,28.550243,257.39618,0.110919446
68,17.9688,17.273152,29.993595,120.76321,106.64445,1440000,0.38304424,28.549908,257.40125,0.110915974
69,17.9555,17.238336,29.993608,120.760445,106.64442,1440000,0.38304394,28.549603,257.39847,0.110915974
70,18.732,17.559552,29.994001,120.75665,106.64618,1440000,0.38304368,28.549063,257.39685,0.11091458
71,17.8865,17.201664,29.99441,120.75545,106.64798,1440000,0.3830434,28.548817,257.39783,0.110913195
72,18.6579,17.712768,29.994503,120.75395,106.648315,1440000,0.38304317,28.548698,257.3968,0.110913195
73,18.5891,17.11104,29.994522,120.7513,106.64855,1440000,0.38304287,28.548433,257.39438,0.110913195
74,17.4981,16.824544,29.994703,120.75007,106.65003,1440000,0.38304263,28.548122,257.3948,0.11091181
75,17.3604,16.74336,29.99449,120.74714,106.65021,1440000,0.38304234,28.547794,257.39185,0.11091181
