frame,cpu_ms,gpu_ms
188,6.8464,5.743104
189,6.2403,4.82112
190,6.1876,5.09952
191,7.2663,5.550688
192,6.3284,5.529312
193,6.3904,5.41696
194,6.0707,5.389568
195,6.25,5.560832
196,6.1996,5.578752
197,6.0612,5.178528
198,6.2899,5.296128
199,6.1521,5.18592
200,6.3955,5.341184
201,6.3698,5.458656
202,6.945,6.031872
203,6.7028,5.518368
204,6.1636,4.835968
205,5.4754,4.561856
206,6.528,5.687296
207,6.2826,5.181312
208,6.2819,4.979264
209,6.4636,5.285984
210,6.229,5.014912
211,6.6218,5.746112
212,6.0992,5.165216
213,7.3538,5.75072
214,6.3373,5.413632
215,6.5722,5.638144
216,5.8516,5.117792
217,6.4151,5.802688
218,5.9294,5.362944
219,6.5872,5.88576
220,6.8685,6.04016
221,5.586,4.947968
222,6.8561,6.220064
223,6.3293,5.7088
224,5.8006,5.05856
225,6.1797,5.176288
226,6.5631,5.922816
227,5.6857,5.08032
228,5.896,5.194496
229,6.3901,5.749152
230,5.9827,5.113856
231,6.3981,5.088992
232,5.9926,4.906944
233,6.0369,4.9776
234,6.1814,5.04208
235,6.0165,5.040192
236,6.2345,4.952064
237,6.2182,5.24192
238,6.0757,4.985216
239,6.341,4.923392
240,6.4838,4.84176
241,6.384,5.281632
242,6.2283,5.117952
243,6.378,5.53984
244,7.0141,5.836896
245,6.4697,5.538496
246,6.7245,5.566752
247,6.2451,5.412
248,6.1724,5.484544
249,6.5798,5.901152
250,6.2273,5.62256
251,6.4232,5.782016
252,6.6011,5.590944
253,5.6097,4.579328
254,6.2357,5.604992
255,6.111,5.44768
256,6.3254,5.689344
257,5.8486,5.041888
258,5.9472,5.224672
259,6.4312,5.826784
260,5.6894,5.006976
261,6.9841,6.238336
262,5.9765,4.9912
263,6.5098,5.277728
264,6.7156,5.251072
265,6.1572,5.202784
266,5.8487,4.859904
267,5.9633,4.878336
268,6.4515,5.076992
269,6.4559,5.133728
270,5.926,5.05856
271,6.1856,4.896352
272,5.9825,4.95616
273,6.235,5.171136
274,6.9055,5.627872
275,6.6361,5.769216
276,6.3696,5.570976
277,6.4451,5.654656
278,6.3926,5.488384
279,6.3887,5.564544
280,5.9393,5.2168
281,6.2536,5.659936
282,6.1975,5.569056
283,6.4036,5.766368
284,6.5425,5.745216
285,5.6405,4.913152
286,6.2955,5.775648
287,5.6075,5.034208
288,6.7497,5.87152
289,6.3568,5.275648
290,5.4422,4.79232
291,6.5364,5.664288
292,5.6821,4.87264
293,6.4849,5.889888
294,5.8364,4.997216
295,6.4814,5.424352
296,5.5944,4.612992
297,6.1327,5.018848
298,6.7653,5.69888
299,5.9765,5.174752
300,6.3223,5.133536
301,6.1224,5.087808
302,6.3154,5.169152
303,5.6312,4.7104
304,6.4465,5.080352
305,6.3353,4.983392
306,6.3745,5.12672
307,5.9709,4.841568
308,6.2031,5.031936
309,6.0136,4.774304
310,6.1828,5.095424
311,6.1693,5.056032
312,7.0955,5.715936
313,6.2554,5.544096
314,6.0416,5.463616
315,6.0528,5.36416
316,6.1761,5.421408
317,6.2559,5.593088
318,6.0896,5.302368
319,6.5249,5.855328
320,6.3403,5.67904
321,6.4349,5.564544
322,5.9061,5.25312
323,6.4193,5.837792
324,6.3101,5.636768
325,6.455,5.707904
326,6.2955,5.500448
327,6.3107,5.374688
328,6.918,6.131776
329,6.2801,5.359104
330,6.0583,5.10576
331,6.6145,5.328896
332,5.9696,5.072672
333,5.9921,4.970496
334,6.1063,5.238976
335,6.6714,5.225728
336,5.8586,4.879584
337,6.3665,4.978752
338,6.0208,5.117568
339,5.7039,4.748832
340,5.8839,4.923392
341,6.7422,5.12
342,6.4516,5.413888
343,6.8521,5.615296
344,6.1145,5.181888
345,6.377,5.498624
346,6.2123,5.49712
347,6.2149,5.597376
348,6.7074,5.781728
349,6.018,5.347328
350,6.0869,5.437152
351,6.0048,5.265408
352,6.2406,5.429888
353,6.2682,5.490976
354,5.987,5.281696
355,6.5324,5.968608
356,6.2687,5.670368
357,6.0485,5.382656
358,6.4631,5.842944
359,6.4074,5.60544
360,5.9066,5.255168
361,6.0016,5.23264
362,6.0391,5.00544
363,6.3742,5.259264
364,6.4974,5.366016
365,6.2281,5.15888
366,5.9036,4.86752
367,6.263,5.112384
368,6.7277,5.251008
369,6.6554,5.250048
370,6.9387,5.72112
371,6.7984,5.605568
372,6.0962,5.284096
373,6.354,5.546176
374,6.1653,5.196256
375,6.2752,5.455008
376,6.5659,5.588992
377,6.3156,5.552128
378,6.2758,5.435552
379,6.2064,5.386496
380,6.3988,5.668864
381,5.8971,5.194816
382,6.2408,5.704192
383,5.3789,4.834272
384,6.5239,5.904384
385,6.5612,5.5616
386,5.6529,4.993824
387,6.134,5.394464
388,5.4904,4.910976
389,7.2034,5.511968
390,6.0648,5.019136
391,5.9489,5.228128
392,5.5384,4.85376
393,6.1633,5.604288
394,5.3986,4.754016
395,6.331,5.54256
396,6.6011,5.431328
397,6.108,4.879424
398,7.8238,7.030016
399,12.0253,5.22992
400,6.2883,4.999552
401,7.0284,5.634048
402,6.3371,5.536288
403,6.2444,5.481472
404,6.3207,5.474624
405,6.4241,5.357568
406,7.0284,5.464384
407,6.4726,5.36576
408,6.2346,5.476704
409,5.8036,4.985056
410,6.9307,6.004
411,6.2616,4.918464
412,5.6688,4.850944
413,5.8343,5.16992
414,6.1314,5.56032
415,6.7003,5.996544
416,5.7569,4.962432
417,6.3023,5.682144
418,5.6642,4.935648
419,5.987,5.377632
420,5.6979,5.092192
421,6.6013,5.86528
422,6.2358,5.371904
423,5.8025,4.950112
424,5.6523,5.107712
425,6.0834,5.464608
426,6.5405,5.87776
427,6.2533,5.311648
428,6.4026,5.237312
429,6.0337,4.931584
430,6.7989,5.562496
431,6.1581,5.224448
432,5.92,4.741952
433,7.8961,5.627904
434,6.1888,5.294208
435,6.2628,5.380288
436,6.6548,5.80224
437,6.4841,5.469184
438,6.6372,5.658688
439,7.3414,5.679264
440,5.7866,4.791328
441,6.8436,5.902624
442,5.8254,4.864288
443,5.7288,4.690688
444,6.1724,5.252992
445,5.7603,4.898816
446,6.4204,5.327776
447,6.2847,5.047552
448,5.7004,4.843264
449,5.5784,4.842592
450,6.3672,5.802112
451,5.6067,5.04832
452,6.5137,5.9392
453,5.7783,5.01056
454,6.3614,5.5536
455,5.8588,5.122368
456,6.0868,5.539104
457,6.2147,5.621984
458,6.2071,5.233312
459,6.3598,5.383008
460,5.8749,4.904608
461,6.3127,5.301472
462,5.7071,4.849696
463,6.3761,4.992736
464,5.981,4.859904
465,6.3851,5.291488
466,5.9466,4.757664
467,6.3091,5.047904
468,5.6118,4.757088
469,6.2917,4.857824
470,6.0356,5.052672
471,6.6006,5.38672
472,6.2643,5.253504
473,6.32,5.224896
474,5.9769,5.025088
475,6.8387,5.472288
476,6.1686,5.255744
477,6.9415,5.468736
478,6.5242,5.80992
479,6.1512,5.339136
480,6.3065,5.451776
481,6.3945,5.732704
482,6.4564,5.842336
483,6.8865,6.329472
484,6.54,6.004704
485,5.6479,4.940192
486,9.5213,4.669952
487,6.0136,5.076992
488,6.0587,5.367808
489,6.1484,5.4544
490,6.3094,5.383648
491,6.6105,5.840448
492,6.2657,5.428288
493,6.3966,5.62176
494,6.0039,5.262848
495,6.2141,5.441568
496,6.3181,5.136736
497,6.2076,5.4272
498,6.8279,6.080512
499,7.0675,5.8048
500,6.2512,5.132288
501,6.1367,5.072864
502,5.9999,5.04224
503,6.0955,4.929024
504,6.0878,5.163008
505,5.7665,4.816576
506,6.696,5.249024
507,6.1153,5.019712
508,5.9534,5.105664
509,6.312,5.138208
510,6.0065,5.255168
511,6.4408,5.494912
512,6.1302,5.23264
513,6.1104,5.351872
514,5.5715,4.707552
515,5.88,5.029152
516,5.789,4.942048
517,5.7797,4.90048
518,6.2432,5.152288
519,6.0905,5.363776
520,6.2821,5.431424
521,6.4203,5.580096
522,6.3912,5.599232
523,6.0266,5.281632
524,5.9803,5.111808
525,5.8647,5.142528
526,6.3505,5.328896
527,5.4961,4.673344
528,5.8055,4.87648
529,6.0363,4.58352
530,6.0355,5.14048
531,6.6433,5.38624
532,6.3512,4.931328
533,6.003,5.117952
534,6.6251,5.3456
535,5.9778,5.070176
536,6.0284,4.771584
537,5.625,4.768672
538,6.1536,5.210208
539,5.8116,4.808256
540,6.2051,4.669152
541,6.0029,4.93392
542,6.139,4.911104
543,5.581,4.827328
544,5.9717,4.96496
545,6.3836,5.490688
546,5.8094,5.063328
547,6.1136,5.289984
548,5.8745,5.013504
549,5.9628,5.074944
550,6.2599,5.403552
551,19.2203,5.087776
552,6.5181,5.57248
553,6.3823,5.652512
554,6.1523,5.507072
555,5.9172,5.267456
556,5.6314,4.951904
557,9.5066,4.816896
558,6.3446,5.239968
559,6.7806,5.093376
560,5.8881,4.990976
561,5.7062,4.867488
562,6.1332,4.907328
563,6.1816,4.806656
564,6.2881,5.103904
565,6.329,5.05216
566,5.637,4.788224
567,6.7216,5.597184
568,6.6346,5.044224
569,6.2836,4.82368
570,5.9727,5.00096
571,7.1256,5.752832
572,6.1731,5.482816
573,6.3314,5.527712
574,5.9402,5.222912
575,6.0959,5.46816
576,5.8483,5.16096
577,6.5261,5.814816
578,6.1786,5.52336
579,6.6207,5.823104
580,6.1159,5.263744
581,6.369,5.61152
582,6.3114,5.613504
583,6.2313,5.523264
584,6.2147,5.467008
585,6.5123,5.607776
586,6.284,5.410816
587,6.2135,5.481024
588,5.9353,4.991488
589,6.0717,4.904256
590,6.7196,5.320224
591,6.0993,4.859904
592,5.6888,4.631168
593,6.3679,5.523456
594,6.0157,5.197888
595,6.4526,5.153824
596,5.4874,4.629568
597,6.2128,5.047872
598,5.8603,4.610496
599,6.4388,5.408224
